type : 25, d : 20, weight = 0.250000, result = 13
type : 35, d : 300, weight = 0.250000, result = 15
type : 35, d : 420, weight = 0.250000, result = 16
type : 35, d : 440, weight = 0.250000, result = 16
type : 35, d : 480, weight = 0.250000, result = 13
type : 35, d : 400, weight = 0.250000, result = 12
type : 35, d : 280, weight = 0.250000, result = 11
type : 35, d : 360, weight = 0.250000, result = 8
type : 35, d : 260, weight = 0.250000, result = 9
type : 35, d : 380, weight = 0.250000, result = 8
type : 35, d : 140, weight = 0.250000, result = 9
type : 35, d : 0, weight = 0.250000, result = 7
type : 35, d : 460, weight = 0.250000, result = 8
type : 35, d : 220, weight = 0.250000, result = 17
type : 35, d : 340, weight = 0.250000, result = 7
type : 25, d : 60, weight = 0.250000, result = 18
type : 35, d : 200, weight = 0.250000, result = 21
type : 35, d : 320, weight = 0.250000, result = 19
type : 35, d : 240, weight = 0.250000, result = 9
type : 35, d : 100, weight = 0.250000, result = 11
type : 25, d : 100, weight = 0.250000, result = 11
type : 35, d : 20, weight = 0.250000, result = 10
type : 35, d : 120, weight = 0.250000, result = 13
type : 35, d : 180, weight = 0.250000, result = 17
type : 35, d : 40, weight = 0.250000, result = 12
type : 35, d : 60, weight = 0.250000, result = 17
type : 35, d : 80, weight = 0.250000, result = 12
type : 35, d : 160, weight = 0.250000, result = 12
type : 30, d : 480, weight = 0.250000, result = 9
type : 30, d : 380, weight = 0.250000, result = 13
type : 30, d : 360, weight = 0.250000, result = 8
type : 30, d : 320, weight = 0.250000, result = 11
type : 30, d : 420, weight = 0.250000, result = 5
type : 30, d : 160, weight = 0.250000, result = 10
type : 25, d : 0, weight = 0.250000, result = 10
type : 30, d : 260, weight = 0.250000, result = 12
type : 30, d : 400, weight = 0.250000, result = 9
type : 25, d : 80, weight = 0.250000, result = 12
type : 30, d : 40, weight = 0.250000, result = 14
type : 30, d : 300, weight = 0.250000, result = 16
type : 30, d : 140, weight = 0.250000, result = 9
type : 30, d : 60, weight = 0.250000, result = 12
type : 30, d : 460, weight = 0.250000, result = 12
type : 30, d : 280, weight = 0.250000, result = 5
type : 30, d : 180, weight = 0.250000, result = 41
type : 30, d : 100, weight = 0.250000, result = 16
type : 30, d : 440, weight = 0.250000, result = 10
type : 25, d : 420, weight = 0.250000, result = 9
type : 30, d : 220, weight = 0.250000, result = 11
type : 30, d : 120, weight = 0.250000, result = 14
type : 30, d : 340, weight = 0.250000, result = 8
type : 30, d : 200, weight = 0.250000, result = 11
type : 30, d : 240, weight = 0.250000, result = 8
type : 30, d : 0, weight = 0.250000, result = 11
type : 30, d : 80, weight = 0.250000, result = 5
type : 25, d : 260, weight = 0.250000, result = 10
type : 30, d : 20, weight = 0.250000, result = 16
type : 25, d : 200, weight = 0.250000, result = 8
type : 25, d : 460, weight = 0.250000, result = 9
type : 25, d : 480, weight = 0.250000, result = 12
type : 25, d : 340, weight = 0.250000, result = 8
type : 25, d : 320, weight = 0.250000, result = 12
type : 25, d : 140, weight = 0.250000, result = 9
type : 25, d : 300, weight = 0.250000, result = 12
type : 25, d : 400, weight = 0.250000, result = 12
type : 25, d : 220, weight = 0.250000, result = 7
type : 25, d : 120, weight = 0.250000, result = 6
type : 25, d : 440, weight = 0.250000, result = 16
type : 25, d : 280, weight = 0.250000, result = 6
type : 25, d : 160, weight = 0.250000, result = 9
type : 25, d : 360, weight = 0.250000, result = 8
type : 25, d : 240, weight = 0.250000, result = 10
type : 25, d : 380, weight = 0.250000, result = 10
type : 25, d : 180, weight = 0.250000, result = 104
type : 25, d : 40, weight = 0.250000, result = 12
type : 25, d : 20, weight = 0.375000, result = 5
type : 35, d : 440, weight = 0.375000, result = 23
type : 35, d : 300, weight = 0.375000, result = 5
type : 25, d : 60, weight = 0.375000, result = 10
type : 25, d : 100, weight = 0.375000, result = 13
type : 35, d : 260, weight = 0.375000, result = 10
type : 35, d : 360, weight = 0.375000, result = 6
type : 35, d : 380, weight = 0.375000, result = 11
type : 35, d : 420, weight = 0.375000, result = 19
type : 35, d : 480, weight = 0.375000, result = 12
type : 35, d : 400, weight = 0.375000, result = 11
type : 35, d : 320, weight = 0.375000, result = 12
type : 35, d : 340, weight = 0.375000, result = 11
type : 35, d : 460, weight = 0.375000, result = 8
type : 35, d : 180, weight = 0.375000, result = 10
type : 35, d : 240, weight = 0.375000, result = 9
type : 35, d : 220, weight = 0.375000, result = 18
type : 35, d : 100, weight = 0.375000, result = 12
type : 35, d : 140, weight = 0.375000, result = 22
type : 25, d : 260, weight = 0.375000, result = 14
type : 35, d : 120, weight = 0.375000, result = 8
type : 35, d : 80, weight = 0.375000, result = 12
type : 35, d : 200, weight = 0.375000, result = 24
type : 25, d : 340, weight = 0.375000, result = 9
type : 35, d : 160, weight = 0.375000, result = 16
type : 35, d : 280, weight = 0.375000, result = 12
type : 35, d : 60, weight = 0.375000, result = 9
type : 35, d : 0, weight = 0.375000, result = 9
type : 25, d : 200, weight = 0.375000, result = 12
type : 25, d : 300, weight = 0.375000, result = 8
type : 35, d : 40, weight = 0.375000, result = 11
type : 35, d : 20, weight = 0.375000, result = 11
type : 25, d : 80, weight = 0.375000, result = 3
type : 25, d : 400, weight = 0.375000, result = 6
type : 30, d : 480, weight = 0.375000, result = 8
type : 25, d : 280, weight = 0.375000, result = 10
type : 30, d : 420, weight = 0.375000, result = 7
type : 30, d : 360, weight = 0.375000, result = 13
type : 30, d : 400, weight = 0.375000, result = 10
type : 30, d : 380, weight = 0.375000, result = 9
type : 30, d : 320, weight = 0.375000, result = 5
type : 30, d : 260, weight = 0.375000, result = 10
type : 30, d : 460, weight = 0.375000, result = 9
type : 25, d : 420, weight = 0.375000, result = 15
type : 25, d : 0, weight = 0.375000, result = 10
type : 25, d : 360, weight = 0.375000, result = 10
type : 30, d : 440, weight = 0.375000, result = 10
type : 30, d : 160, weight = 0.375000, result = 15
type : 30, d : 180, weight = 0.375000, result = 48
type : 30, d : 340, weight = 0.375000, result = 13
type : 30, d : 200, weight = 0.375000, result = 11
type : 30, d : 100, weight = 0.375000, result = 6
type : 30, d : 300, weight = 0.375000, result = 11
type : 30, d : 40, weight = 0.375000, result = 5
type : 30, d : 280, weight = 0.375000, result = 7
type : 30, d : 60, weight = 0.375000, result = 7
type : 25, d : 460, weight = 0.375000, result = 8
type : 30, d : 140, weight = 0.375000, result = 10
type : 30, d : 220, weight = 0.375000, result = 6
type : 30, d : 240, weight = 0.375000, result = 12
type : 30, d : 80, weight = 0.375000, result = 11
type : 30, d : 120, weight = 0.375000, result = 15
type : 30, d : 20, weight = 0.375000, result = 13
type : 25, d : 380, weight = 0.375000, result = 6
type : 30, d : 0, weight = 0.375000, result = 13
type : 25, d : 120, weight = 0.375000, result = 10
type : 25, d : 440, weight = 0.375000, result = 8
type : 25, d : 140, weight = 0.375000, result = 12
type : 25, d : 220, weight = 0.375000, result = 13
type : 25, d : 480, weight = 0.375000, result = 10
type : 25, d : 240, weight = 0.375000, result = 9
type : 25, d : 320, weight = 0.375000, result = 9
type : 25, d : 180, weight = 0.375000, result = 154
type : 25, d : 40, weight = 0.375000, result = 9
type : 25, d : 160, weight = 0.375000, result = 11
type : 25, d : 20, weight = 0.500000, result = 11
type : 25, d : 60, weight = 0.500000, result = 12
type : 35, d : 440, weight = 0.500000, result = 29
type : 25, d : 100, weight = 0.500000, result = 6
type : 35, d : 300, weight = 0.500000, result = 6
type : 35, d : 420, weight = 0.500000, result = 25
type : 35, d : 260, weight = 0.500000, result = 10
type : 35, d : 360, weight = 0.500000, result = 11
type : 25, d : 340, weight = 0.500000, result = 10
type : 35, d : 460, weight = 0.500000, result = 15
type : 25, d : 260, weight = 0.500000, result = 7
type : 35, d : 380, weight = 0.500000, result = 9
type : 35, d : 320, weight = 0.500000, result = 10
type : 35, d : 480, weight = 0.500000, result = 11
type : 25, d : 400, weight = 0.500000, result = 7
type : 35, d : 400, weight = 0.500000, result = 12
type : 35, d : 240, weight = 0.500000, result = 15
type : 35, d : 140, weight = 0.500000, result = 22
type : 35, d : 80, weight = 0.500000, result = 6
type : 25, d : 300, weight = 0.500000, result = 7
type : 35, d : 340, weight = 0.500000, result = 10
type : 35, d : 180, weight = 0.500000, result = 9
type : 35, d : 100, weight = 0.500000, result = 8
type : 35, d : 220, weight = 0.500000, result = 32
type : 35, d : 160, weight = 0.500000, result = 26
type : 25, d : 200, weight = 0.500000, result = 9
type : 35, d : 60, weight = 0.500000, result = 6
type : 35, d : 200, weight = 0.500000, result = 31
type : 35, d : 0, weight = 0.500000, result = 8
type : 25, d : 460, weight = 0.500000, result = 8
type : 35, d : 280, weight = 0.500000, result = 8
type : 25, d : 420, weight = 0.500000, result = 12
type : 35, d : 120, weight = 0.500000, result = 11
type : 35, d : 40, weight = 0.500000, result = 14
type : 25, d : 80, weight = 0.500000, result = 6
type : 25, d : 360, weight = 0.500000, result = 9
type : 25, d : 280, weight = 0.500000, result = 8
type : 30, d : 0, weight = 0.500000, result = 7
type : 35, d : 20, weight = 0.500000, result = 12
type : 30, d : 20, weight = 0.500000, result = 8
type : 30, d : 480, weight = 0.500000, result = 5
type : 30, d : 80, weight = 0.500000, result = 9
type : 30, d : 420, weight = 0.500000, result = 8
type : 30, d : 360, weight = 0.500000, result = 6
type : 30, d : 460, weight = 0.500000, result = 10
type : 30, d : 400, weight = 0.500000, result = 8
type : 30, d : 100, weight = 0.500000, result = 4
type : 30, d : 440, weight = 0.500000, result = 10
type : 30, d : 320, weight = 0.500000, result = 9
type : 30, d : 380, weight = 0.500000, result = 10
type : 30, d : 60, weight = 0.500000, result = 8
type : 30, d : 260, weight = 0.500000, result = 5
